build,race,faction,dps,stdev,standard_error,iterations,oom_seconds,spell_hit_adjustment,melee_hit_adjustment,spell_hit_final,melee_hit_final,hit_budget_model,hit_rating_delta,offensive_budget_before,budget_balance,talents
Marksmanship,Windshaper,Horde,733.6396707563133,18.77486384192196,0.26551667076954266,5000,1.7423706741266014,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Human,Alliance,729.633826016069,18.71633970104476,0.264689014431995,5000,1.7496885808015992,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Dwarf,Alliance,727.4732846840884,18.615354492111454,0.26326086791126935,5000,1.9423593844719973,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,Night Elf,Alliance,738.6815774156385,19.147209872918772,0.2707824388388575,5000,1.8215201347837988,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Marksmanship,High Order,Alliance,733.6396707563133,18.77486384192196,0.26551667076954266,5000,1.7423706741266014,3.0999999999999996,3.0999999999999996,9,9,linear-v1,30.999999999999996,356,1.7763568394002505e-15,5023000503-0053451001503051
Survival,Orc,Horde,662.1426490209808,25.982618921702976,0.3674497206504415,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,333,4.440892098500626e-16,502-0050051-230230230250022151
Survival,Tauren,Horde,659.4109581617972,25.881914722920097,0.36602554821337485,5000,0,-1.9000000000000004,-1.9000000000000004,9,9,linear-v1,-19.000000000000004,333,1.3322676295501878e-15,502-0050051-230230230250022151
Survival,Troll,Horde,660.964834270969,26.103547457477763,0.36915990840414775,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,333,4.440892098500626e-16,502-0050051-230230230250022151
Survival,Windshaper,Horde,661.4712211297665,26.567272651442572,0.375717972989339,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,333,4.440892098500626e-16,502-0050051-230230230250022151
Survival,Human,Alliance,670.8965610388547,26.5193313111447,0.37503998005286304,5000,0,-0.9000000000000004,-0.9000000000000004,9,9,linear-v1,-9.000000000000004,333,4.440892098500626e-16,502-0050051-230230230250022151
